"cod_legenda; ";"valore; ";"time; ";"cod_veicolo; "
77;95677;2024-03-07 22:53:05.357000;46
80;373;2024-03-07 22:53:05.357000;46
76;25924;2024-03-07 22:53:05.357000;46
79;95668;2024-03-07 22:53:05.357000;46
78;12020;2024-03-07 22:53:05.357000;46
72;2969.9;2024-03-07 22:53:06.567000;46
71;5044.4;2024-03-07 22:53:06.567000;46
70;50444;2024-03-07 22:53:06.567000;46
64;0;2024-03-07 22:53:07.836000;46
63;0;2024-03-07 22:53:07.836000;46
62;0;2024-03-07 22:53:07.836000;46
61;0;2024-03-07 22:53:07.836000;46
60;0;2024-03-07 22:53:07.836000;46
59;0;2024-03-07 22:53:07.836000;46
58;0;2024-03-07 22:53:07.836000;46
57;0;2024-03-07 22:53:07.836000;46
56;0;2024-03-07 22:53:07.836000;46
55;0;2024-03-07 22:53:07.836000;46
54;0;2024-03-07 22:53:07.836000;46
53;0;2024-03-07 22:53:07.836000;46
52;0;2024-03-07 22:53:07.836000;46
51;0;2024-03-07 22:53:07.836000;46
50;0;2024-03-07 22:53:07.836000;46
49;0;2024-03-07 22:53:07.836000;46
48;1;2024-03-07 22:53:07.836000;46
47;0;2024-03-07 22:53:07.836000;46
46;1;2024-03-07 22:53:07.836000;46
45;0;2024-03-07 22:53:07.836000;46
44;1;2024-03-07 22:53:07.836000;46
43;1;2024-03-07 22:53:07.836000;46
42;0;2024-03-07 22:53:07.836000;46
41;1;2024-03-07 22:53:07.836000;46
40;1;2024-03-07 22:53:07.836000;46
39;0;2024-03-07 22:53:07.836000;46
38;0;2024-03-07 22:53:07.836000;46
37;1;2024-03-07 22:53:07.836000;46
36;1;2024-03-07 22:53:07.836000;46
35;0;2024-03-07 22:53:07.836000;46
34;1;2024-03-07 22:53:07.836000;46
33;1;2024-03-07 22:53:07.836000;46
32;1;2024-03-07 22:53:07.836000;46
31;1;2024-03-07 22:53:07.836000;46
30;0;2024-03-07 22:53:07.836000;46
29;0;2024-03-07 22:53:07.836000;46
28;1;2024-03-07 22:53:07.836000;46
27;0;2024-03-07 22:53:07.836000;46
26;1;2024-03-07 22:53:07.836000;46
25;1;2024-03-07 22:53:07.836000;46
24;0;2024-03-07 22:53:07.836000;46
23;1;2024-03-07 22:53:07.836000;46
22;0;2024-03-07 22:53:07.836000;46
21;1;2024-03-07 22:53:07.836000;46
20;1;2024-03-07 22:53:07.836000;46
19;0;2024-03-07 22:53:07.836000;46
18;1;2024-03-07 22:53:07.836000;46
17;1;2024-03-07 22:53:07.836000;46
16;0;2024-03-07 22:53:07.836000;46
15;0;2024-03-07 22:53:07.836000;46
14;0;2024-03-07 22:53:07.836000;46
13;0;2024-03-07 22:53:07.836000;46
12;0;2024-03-07 22:53:07.836000;46
11;0;2024-03-07 22:53:07.836000;46
10;0;2024-03-07 22:53:07.836000;46
9;0;2024-03-07 22:53:07.836000;46
8;0;2024-03-07 22:53:07.836000;46
7;0;2024-03-07 22:53:07.836000;46
6;0;2024-03-07 22:53:07.836000;46
5;0;2024-03-07 22:53:07.836000;46
4;0;2024-03-07 22:53:07.836000;46
3;0;2024-03-07 22:53:07.836000;46
2;0;2024-03-07 22:53:07.836000;46
1;0;2024-03-07 22:53:07.836000;46
69;149275;2024-03-07 22:53:07.836000;46
68;601497;2024-03-07 22:53:07.836000;46
64;2928;2024-03-07 22:53:07.836000;46
63;2944;2024-03-07 22:53:07.836000;46
62;2994;2024-03-07 22:53:07.836000;46
61;3032;2024-03-07 22:53:07.836000;46
60;3050;2024-03-07 22:53:07.836000;46
59;3030;2024-03-07 22:53:07.836000;46
58;2939;2024-03-07 22:53:07.836000;46
57;2991;2024-03-07 22:53:07.836000;46
76;32853;2024-03-07 22:53:07.858000;46
56;3097;2024-03-07 22:53:07.836000;46
55;3021;2024-03-07 22:53:07.836000;46
54;3098;2024-03-07 22:53:07.836000;46
53;2992;2024-03-07 22:53:07.836000;46
80;844;2024-03-07 22:53:07.858000;46
79;95518;2024-03-07 22:53:07.858000;46
78;11969;2024-03-07 22:53:07.858000;46
77;96305;2024-03-07 22:53:07.858000;46
36;2929;2024-03-07 22:53:07.836000;46
35;2907;2024-03-07 22:53:07.836000;46
34;3097;2024-03-07 22:53:07.836000;46
33;2935;2024-03-07 22:53:07.836000;46
52;3026;2024-03-07 22:53:07.836000;46
51;3006;2024-03-07 22:53:07.836000;46
50;2971;2024-03-07 22:53:07.836000;46
49;3074;2024-03-07 22:53:07.836000;46
44;3095;2024-03-07 22:53:07.836000;46
43;3089;2024-03-07 22:53:07.836000;46
42;3029;2024-03-07 22:53:07.836000;46
41;2984;2024-03-07 22:53:07.836000;46
48;3012;2024-03-07 22:53:07.836000;46
47;3092;2024-03-07 22:53:07.836000;46
46;2959;2024-03-07 22:53:07.836000;46
45;2951;2024-03-07 22:53:07.836000;46
40;2966;2024-03-07 22:53:07.836000;46
39;3027;2024-03-07 22:53:07.836000;46
38;2998;2024-03-07 22:53:07.836000;46
37;3042;2024-03-07 22:53:07.836000;46
72;4506.1;2024-03-07 22:53:08.168000;46
71;1665.3;2024-03-07 22:53:08.168000;46
70;16653;2024-03-07 22:53:08.168000;46
64;0;2024-03-07 22:53:10.837000;46
63;0;2024-03-07 22:53:10.837000;46
62;0;2024-03-07 22:53:10.837000;46
61;0;2024-03-07 22:53:10.837000;46
60;0;2024-03-07 22:53:10.837000;46
59;0;2024-03-07 22:53:10.837000;46
58;0;2024-03-07 22:53:10.837000;46
57;0;2024-03-07 22:53:10.837000;46
56;0;2024-03-07 22:53:10.837000;46
55;0;2024-03-07 22:53:10.837000;46
54;0;2024-03-07 22:53:10.837000;46
53;0;2024-03-07 22:53:10.837000;46
52;0;2024-03-07 22:53:10.837000;46
51;0;2024-03-07 22:53:10.837000;46
50;0;2024-03-07 22:53:10.837000;46
49;0;2024-03-07 22:53:10.837000;46
48;0;2024-03-07 22:53:10.837000;46
47;1;2024-03-07 22:53:10.837000;46
46;0;2024-03-07 22:53:10.837000;46
45;0;2024-03-07 22:53:10.837000;46
44;0;2024-03-07 22:53:10.837000;46
43;0;2024-03-07 22:53:10.837000;46
42;0;2024-03-07 22:53:10.837000;46
41;1;2024-03-07 22:53:10.837000;46
40;1;2024-03-07 22:53:10.837000;46
39;0;2024-03-07 22:53:10.837000;46
38;1;2024-03-07 22:53:10.837000;46
37;0;2024-03-07 22:53:10.837000;46
36;1;2024-03-07 22:53:10.837000;46
35;1;2024-03-07 22:53:10.837000;46
34;1;2024-03-07 22:53:10.837000;46
33;0;2024-03-07 22:53:10.837000;46
32;1;2024-03-07 22:53:10.837000;46
31;1;2024-03-07 22:53:10.837000;46
30;0;2024-03-07 22:53:10.837000;46
29;0;2024-03-07 22:53:10.837000;46
28;0;2024-03-07 22:53:10.837000;46
27;0;2024-03-07 22:53:10.837000;46
26;1;2024-03-07 22:53:10.837000;46
25;0;2024-03-07 22:53:10.837000;46
24;1;2024-03-07 22:53:10.837000;46
23;0;2024-03-07 22:53:10.837000;46
22;1;2024-03-07 22:53:10.837000;46
21;1;2024-03-07 22:53:10.837000;46
20;1;2024-03-07 22:53:10.837000;46
19;1;2024-03-07 22:53:10.837000;46
18;0;2024-03-07 22:53:10.837000;46
17;1;2024-03-07 22:53:10.837000;46
16;0;2024-03-07 22:53:10.837000;46
15;0;2024-03-07 22:53:10.837000;46
14;0;2024-03-07 22:53:10.837000;46
13;0;2024-03-07 22:53:10.837000;46
12;0;2024-03-07 22:53:10.837000;46
11;0;2024-03-07 22:53:10.837000;46
10;0;2024-03-07 22:53:10.837000;46
9;0;2024-03-07 22:53:10.837000;46
8;0;2024-03-07 22:53:10.837000;46
7;0;2024-03-07 22:53:10.837000;46
6;0;2024-03-07 22:53:10.837000;46
5;0;2024-03-07 22:53:10.837000;46
4;0;2024-03-07 22:53:10.837000;46
3;0;2024-03-07 22:53:10.837000;46
2;0;2024-03-07 22:53:10.837000;46
1;0;2024-03-07 22:53:10.837000;46
64;3024;2024-03-07 22:53:10.837000;46
63;3089;2024-03-07 22:53:10.837000;46
62;3004;2024-03-07 22:53:10.837000;46
61;3030;2024-03-07 22:53:10.837000;46
69;150103;2024-03-07 22:53:10.837000;46
68;603975;2024-03-07 22:53:10.837000;46
60;2966;2024-03-07 22:53:10.837000;46
59;2958;2024-03-07 22:53:10.837000;46
58;2945;2024-03-07 22:53:10.837000;46
57;3093;2024-03-07 22:53:10.837000;46
56;3031;2024-03-07 22:53:10.837000;46
55;3026;2024-03-07 22:53:10.837000;46
54;2935;2024-03-07 22:53:10.837000;46
53;3001;2024-03-07 22:53:10.837000;46
52;3069;2024-03-07 22:53:10.837000;46
51;3023;2024-03-07 22:53:10.837000;46
50;2916;2024-03-07 22:53:10.837000;46
49;3089;2024-03-07 22:53:10.837000;46
48;3079;2024-03-07 22:53:10.837000;46
47;2987;2024-03-07 22:53:10.837000;46
46;2949;2024-03-07 22:53:10.837000;46
45;2909;2024-03-07 22:53:10.837000;46
36;2925;2024-03-07 22:53:10.837000;46
35;3092;2024-03-07 22:53:10.837000;46
34;2919;2024-03-07 22:53:10.837000;46
33;2918;2024-03-07 22:53:10.837000;46
44;3032;2024-03-07 22:53:10.837000;46
43;3037;2024-03-07 22:53:10.837000;46
42;3086;2024-03-07 22:53:10.837000;46
41;3060;2024-03-07 22:53:10.837000;46
40;3043;2024-03-07 22:53:10.837000;46
39;3087;2024-03-07 22:53:10.837000;46
38;2908;2024-03-07 22:53:10.837000;46
37;2927;2024-03-07 22:53:10.837000;46
80;876;2024-03-07 22:53:10.359000;46
79;96390;2024-03-07 22:53:10.359000;46
76;16571;2024-03-07 22:53:10.359000;46
78;12013;2024-03-07 22:53:10.359000;46
77;96305;2024-03-07 22:53:10.359000;46
72;5888.5;2024-03-07 22:53:09.769000;46
71;3610.9;2024-03-07 22:53:09.769000;46
70;36109;2024-03-07 22:53:09.769000;46
64;0;2024-03-07 22:53:13.838000;46
63;0;2024-03-07 22:53:13.838000;46
62;0;2024-03-07 22:53:13.838000;46
61;0;2024-03-07 22:53:13.838000;46
60;0;2024-03-07 22:53:13.838000;46
59;0;2024-03-07 22:53:13.838000;46
58;0;2024-03-07 22:53:13.838000;46
57;0;2024-03-07 22:53:13.838000;46
56;0;2024-03-07 22:53:13.838000;46
55;0;2024-03-07 22:53:13.838000;46
54;0;2024-03-07 22:53:13.838000;46
53;0;2024-03-07 22:53:13.838000;46
52;0;2024-03-07 22:53:13.838000;46
51;0;2024-03-07 22:53:13.838000;46
50;0;2024-03-07 22:53:13.838000;46
49;0;2024-03-07 22:53:13.838000;46
48;0;2024-03-07 22:53:13.838000;46
47;0;2024-03-07 22:53:13.838000;46
46;0;2024-03-07 22:53:13.838000;46
45;1;2024-03-07 22:53:13.838000;46
44;1;2024-03-07 22:53:13.838000;46
43;1;2024-03-07 22:53:13.838000;46
42;1;2024-03-07 22:53:13.838000;46
41;0;2024-03-07 22:53:13.838000;46
40;0;2024-03-07 22:53:13.838000;46
39;0;2024-03-07 22:53:13.838000;46
38;0;2024-03-07 22:53:13.838000;46
37;0;2024-03-07 22:53:13.838000;46
36;1;2024-03-07 22:53:13.838000;46
35;1;2024-03-07 22:53:13.838000;46
34;1;2024-03-07 22:53:13.838000;46
33;1;2024-03-07 22:53:13.838000;46
32;1;2024-03-07 22:53:13.838000;46
31;1;2024-03-07 22:53:13.838000;46
30;1;2024-03-07 22:53:13.838000;46
29;0;2024-03-07 22:53:13.838000;46
28;1;2024-03-07 22:53:13.838000;46
27;1;2024-03-07 22:53:13.838000;46
26;0;2024-03-07 22:53:13.838000;46
25;0;2024-03-07 22:53:13.838000;46
24;0;2024-03-07 22:53:13.838000;46
23;1;2024-03-07 22:53:13.838000;46
22;0;2024-03-07 22:53:13.838000;46
21;0;2024-03-07 22:53:13.838000;46
20;0;2024-03-07 22:53:13.838000;46
19;1;2024-03-07 22:53:13.838000;46
18;1;2024-03-07 22:53:13.838000;46
17;1;2024-03-07 22:53:13.838000;46
16;0;2024-03-07 22:53:13.838000;46
15;0;2024-03-07 22:53:13.838000;46
14;0;2024-03-07 22:53:13.838000;46
13;0;2024-03-07 22:53:13.838000;46
12;0;2024-03-07 22:53:13.838000;46
11;0;2024-03-07 22:53:13.838000;46
10;0;2024-03-07 22:53:13.838000;46
9;0;2024-03-07 22:53:13.838000;46
8;0;2024-03-07 22:53:13.838000;46
7;0;2024-03-07 22:53:13.838000;46
6;0;2024-03-07 22:53:13.838000;46
5;0;2024-03-07 22:53:13.838000;46
4;0;2024-03-07 22:53:13.838000;46
3;0;2024-03-07 22:53:13.838000;46
2;0;2024-03-07 22:53:13.838000;46
1;0;2024-03-07 22:53:13.838000;46
64;2900;2024-03-07 22:53:13.838000;46
63;2992;2024-03-07 22:53:13.838000;46
62;3099;2024-03-07 22:53:13.838000;46
61;3023;2024-03-07 22:53:13.838000;46
69;150631;2024-03-07 22:53:13.838000;46
68;596081;2024-03-07 22:53:13.838000;46
56;2943;2024-03-07 22:53:13.838000;46
55;3048;2024-03-07 22:53:13.838000;46
54;3082;2024-03-07 22:53:13.838000;46
53;3072;2024-03-07 22:53:13.838000;46
60;3064;2024-03-07 22:53:13.838000;46
59;2958;2024-03-07 22:53:13.838000;46
58;2936;2024-03-07 22:53:13.838000;46
57;3046;2024-03-07 22:53:13.838000;46
52;3046;2024-03-07 22:53:13.838000;46
51;2990;2024-03-07 22:53:13.838000;46
50;3018;2024-03-07 22:53:13.838000;46
49;2941;2024-03-07 22:53:13.838000;46
36;3045;2024-03-07 22:53:13.838000;46
35;3016;2024-03-07 22:53:13.838000;46
34;2951;2024-03-07 22:53:13.838000;46
33;2955;2024-03-07 22:53:13.838000;46
48;2942;2024-03-07 22:53:13.838000;46
47;3069;2024-03-07 22:53:13.838000;46
46;2912;2024-03-07 22:53:13.838000;46
45;2932;2024-03-07 22:53:13.838000;46
44;2942;2024-03-07 22:53:13.838000;46
43;3009;2024-03-07 22:53:13.838000;46
42;2962;2024-03-07 22:53:13.838000;46
41;3043;2024-03-07 22:53:13.838000;46
40;2945;2024-03-07 22:53:13.838000;46
39;2960;2024-03-07 22:53:13.838000;46
38;3092;2024-03-07 22:53:13.838000;46
37;3065;2024-03-07 22:53:13.838000;46
72;4531.4;2024-03-07 22:53:12.972000;46
71;4506.9;2024-03-07 22:53:12.972000;46
70;45069;2024-03-07 22:53:12.972000;46
80;331;2024-03-07 22:53:12.860000;46
79;96115;2024-03-07 22:53:12.860000;46
78;11984;2024-03-07 22:53:12.860000;46
76;44042;2024-03-07 22:53:12.860000;46
77;96157;2024-03-07 22:53:12.860000;46
